Company Name
Martin Marietta Materials
AES
DuPont De Nemours
Molson Coors Brewing
Moody's
Eversource Energy
Conagra Brands
Kellanova
Welltower
Reliance Steel
NVR
Penske Automotive
American Water Works
Textron
Zimmer Biomet
Yum! Brands
Lithia Motors
Synopsys
Rockwell Automation
CarMax
Dover
PBF Energy
Ulta Beauty
Viatris
Live Nation Entertainment
Franklin Resources
Ametek
Extra Space Storage
East West Bancorp
Electronic Arts
Avis Budget Group
Edwards Lifesciences
Agilent Technologies
Fastenal
Brookfield Renewable
Globalfoundries
International Flavors & Fragrances
Voya Financial
Dick's Sporting Goods
T Rowe Price
Paychex
Paramount
Baxter International
Copart
Darden Restaurants
LPL Financial Holdings
Jacobs Solutions
WestRock
Coterra Energy
Hormel Foods
Vulcan Materials
Cadence Design
AvalonBay Communities
Interpublic Group
APA
Ingersoll Rand
US Steel
Toll Brothers
Arrow Electronics
Western Digital
The Mosaic Company
Fortinet
DaVita
Xylem
Marathon Oil
International Paper
EMCOR Group
Old Dominion Freight Line
US Foods
Weyerhaeuser
Atmos Energy
Assurant
LKQ
Echostar
Equity Residential
MSCI
Owens Corning
American Financial Group
Fortive
First Horizon
Ball
Caesars Entertainment
Howmet Aerospace
Stanley Black & Decker
Universal Health Services
StoneX Group
Autodesk
WESCO International
Westlake Chemical
Williams-Sonoma
J.B. Hunt Transport Services
AutoNation
IDEXX Laboratories
Performance Food Group
Webster Financial
Quest Diagnostics
GoDaddy
ResMed
NiSource
Masco
Gartner
Keysight Technologies
Evergy
Solventum
Brown & Brown
Jefferies Financial
Labcorp
EQT
AGCO
NetApp
Verisk Analytics
Corpay
Eastman
Western Alliance Bancorp.
Leidos
DexCom
Mettler-Toledo International
AGNC Investment
DoorDash
Campbell Soup
Marvell Technology
Expeditors International
Brown-Forman
Carvana
Alexandria Real Estate Equities
First Solar
Robinhood Markets
BJ's Wholesale Club
Comerica
Ares Management
Church & Dwight
Packaging Corp of America
Zions Bancorp
Broadridge Financial
Aramark
Veralto
Teledyne Technologies
McCormick
Annaly Capital Management
Murphy USA
Lumen Technologies
CF Industries Holdings
Avery Dennison
Casey's General Stores
Huntington Ingalls Industries
Lamb Weston Holdings
Rithm Capital
Invitation Homes
Alliant Energy
Avnet
Globe Life
Deckers Outdoor
Lear
SSAB
Goodyear
Wintrust Financial
Jones Lang LaSalle
Carlisle Cos
Snap-on
CBOE Global Markets
Booz Allen Hamilton Holding
BorgWarner
New York Community Bancorp
Old Republic International
Hubbell
Moderna
Hyatt Hotels
Cleveland-Cliffs
Bath & Body Works
VeriSign
Vertiv Holdings
Albemarle
Equifax
AppLovin
Brighthouse Financial
AECOM
Veeva Systems
CrowdStrike
News Corp
SS&C Technologies
Ventas
Skyworks Solutions
Group 1 Automotive
Genworth Financial
Macy's
U-Haul Holding
West Pharmaceutical Services
World Fuel Services
United Therapeutics
Cadence Bank
Wynn Resorts
Chesapeake Energy
Royalty Pharma
Bank OZK
Popular
FICO
Zoom Video Communications
Waters
Old National Bank
Snowflake
Whirlpool
Watsco
Cullen/Frost Bankers
JM Smucker
RPM International
Pinnacle Financial Partners
C.H. Robinson
NOV
Stifel Financial
Gen Digital
Palantir Technologies
Asbury Automotive Group
Atlassian
SLM
Trade Desk
SBA Communications
United Natural Foods
Synovus
Iron Mountain
Altice USA
Starwood Property Trust
Tapestry
Monolithic Power Systems
Lennox International
Valley National Bancorp
Columbia Bank
Datadog
W. P. Carey
Gap
Graphic Packaging
Brookfield Business
Skechers USA
Heico
Ansys
Incyte
Crown Holdings
CoStar Group
Host Hotels & Resorts
Rite Aid
Warner Music Group
IDEX
Gaming And Leisure Properties
BOK Financial
Berry Global Group
Air Lease
Oshkosh
Akamai Technologies
South State
HubSpot
Domino's Pizza
Carlyle Group
F.N.B.
Mid-america Apartment Communities
Burlington Stores
Pinterest
Rollins
Navient
Liberty Media Corporation Series A Liberty Formula One
Hertz Global Holdings
MicroStrategy
Align Technology
Essex Property Trust
Henry Schein
Pinnacle West
MongoDB
Zscaler
Manpower
Clorox
Snap
TopBuild
Healthpeak Properties
Tradeweb Markets
Erie Indemnity
Cloudflare
PVH
Kohl's
Take-Two Interactive Software
Teradyne
Avantor
Essential Utilities
OneMain Holdings
Organon
FactSet Research Systems
CVR Energy
Taylor Morrison Home
FMC
Ralph Lauren
Commercial Metals
Hologic
Samsara
Delek US Holdings
PTC
UMB Financial
Kyndryl Holdings
A.O. Smith
Cogent Communications
Axon Enterprise
XPO
Celsius Holdings
Ingredion
Nordson
Fluor
Kimco Realty
Sun Communities
Roblox
DraftKings
Adient
